
2025/03/19 (01:12:48) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/19 (01:12:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/19 (01:12:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/19 (01:12:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/19 (01:12:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/22 (14:37:39) | ===> btop++ v.1.4.0
2025/03/22 (14:37:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/22 (14:37:39) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/22 (14:37:39) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/22 (14:37:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/22 (14:37:39) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/22 (14:37:39) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/22 (14:37:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/29 (00:21:40) | ===> btop++ v.1.4.0
2025/03/29 (00:21:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/29 (00:21:40) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/29 (00:21:40) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/29 (00:21:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/29 (00:21:40) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/29 (00:21:40) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/29 (00:21:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/31 (01:10:59) | ===> btop++ v.1.4.0
2025/03/31 (01:10:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/31 (01:10:59) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/31 (01:10:59) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/31 (01:10:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/31 (01:10:59) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/31 (01:10:59) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/31 (01:10:59) | WARNING: ROCm SMI: Failed to get PCIe throughput
